Date_Hour,Forward_Jitter_PRI,Backward_Jitter_PRI,Roundtrip_Latency_PRI,Forward_Percent_Pkt_Loss_PRI,Backward_Percent_Pkt_Loss_PRI,Forward_Jitter_SEC,Backward_Jitter_SEC,Roundtrip_Latency_SEC,Forward_Percent_Pkt_Loss_SEC,Backward_Percent_Pkt_Loss_SEC
03/08/2025 12:00,23.52,1.00,24.00,0,0,20.35,1.00,23.93,0,0
03/08/2025 13:00,21.91,1.00,25.17,0,0,21.88,1.00,26.47,0,0
03/08/2025 14:00,19.70,1.00,23.80,0,0,14.92,0.99,26.80,0,0
03/08/2025 15:00,23.32,1.00,23.05,0,0,24.11,1.00,27.16,0,0
03/08/2025 16:00,20.13,1.00,23.56,0,0,16.04,1.00,27.39,0,0
03/08/2025 17:00,23.30,1.00,24.06,0,0,17.34,1.00,26.78,0,0
03/08/2025 18:00,26.50,1.00,24.05,0,0,14.10,1.00,23.68,0,0
03/08/2025 19:00,20.58,0.99,22.89,0,0,20.88,1.00,26.59,0,0
03/08/2025 20:00,21.41,0.99,22.00,0,0,19.48,1.00,26.28,0,0
03/08/2025 21:00,17.75,0.99,22.90,0,0,19.29,1.00,26.07,0,0
03/08/2025 22:00,15.72,1.00,23.55,0,0,22.03,1.01,27.10,0,0
03/08/2025 23:00,20.11,1.01,21.58,0,0,24.54,1.00,27.68,0,0
03/09/2025 00:00,17.78,0.99,23.73,0,0,22.12,1.00,27.76,0,0
03/09/2025 01:00,23.89,1.01,23.46,0,0,24.49,1.00,26.39,0,0
03/09/2025 02:00,19.31,1.00,22.77,0,0,18.62,1.00,25.56,0,0
03/09/2025 03:00,18.86,1.01,23.13,0,0,24.42,1.00,26.17,0,0
03/09/2025 04:00,17.38,1.00,22.52,0,0,20.94,1.00,26.04,0,0
03/09/2025 05:00,17.46,1.00,22.20,0,0,29.59,1.00,27.00,0,0
03/09/2025 06:00,23.46,1.00,25.25,0,0,23.54,1.00,26.94,0,0
03/09/2025 07:00,15.84,1.00,22.40,0,0,17.10,1.00,27.85,0,0
03/09/2025 08:00,23.30,0.99,23.88,0,0,20.33,1.00,26.74,0,0
03/09/2025 09:00,19.67,1.01,23.18,0,0,20.27,1.02,24.82,0,0
03/09/2025 10:00,19.40,1.00,23.79,0,0,17.41,1.00,25.36,0,0
03/09/2025 11:00,18.95,1.00,24.82,0,0,20.06,1.00,24.81,0,0
03/09/2025 12:00,18.33,1.00,24.05,0,0,16.22,1.04,26.76,0,0
03/09/2025 13:00,21.79,0.99,23.90,0,0,14.44,1.00,27.53,0,0
03/09/2025 14:00,17.46,1.00,22.90,0,0,17.91,1.00,25.25,0,0
03/09/2025 15:00,16.07,1.02,21.73,0,0,18.06,1.00,24.44,0,0
03/09/2025 16:00,18.99,1.00,22.69,0,0,15.07,1.00,25.25,0,0
03/09/2025 17:00,13.40,1.00,22.64,0,0,16.30,1.00,24.94,0,0
03/09/2025 18:00,15.21,1.00,22.07,0,0,20.88,1.02,25.88,0,0
03/09/2025 19:00,18.35,1.00,22.96,0,0,14.48,1.00,24.04,0,0
03/09/2025 20:00,18.13,1.01,23.06,0,0,16.40,1.00,24.41,0,0
03/09/2025 21:00,23.31,0.99,23.08,0,0,15.76,1.01,25.00,0,0
03/09/2025 22:00,19.21,1.00,24.99,0,0,14.93,1.00,25.82,0,0
03/09/2025 23:00,19.56,0.99,22.47,0,0,22.73,1.01,27.15,0,0
03/10/2025 00:00,21.64,1.00,23.96,0,0,25.21,1.00,25.95,0,0
03/10/2025 01:00,21.88,1.00,23.69,0,0,26.49,1.00,26.73,0,0
03/10/2025 02:00,16.78,1.01,23.51,0,0.50,17.71,1.01,26.58,0,0
03/10/2025 03:00,23.50,1.00,23.28,0,0,21.26,1.00,28.00,0,0
03/10/2025 04:00,20.24,0.99,22.69,0,0,21.04,1.03,26.69,0,0
