Date,WORLD
2014-08-04,172.24577871321762
2014-08-05,171.69128951514344
2014-08-06,171.3990434740486
2014-08-07,170.62574964014533
2014-08-08,170.4183475107109
2014-08-11,171.88892720050706
2014-08-12,172.05142848134466
2014-08-13,172.77592286691961
2014-08-14,173.4853043945642
2014-08-15,173.31346916820988
2014-08-18,174.90404329105237
2014-08-19,176.2843020214697
2014-08-20,176.82712631163878
2014-08-21,177.48677056317845
2014-08-22,177.60568093154663
2014-08-25,179.0094008359877
2014-08-26,179.34467409096047
2014-08-27,179.54207359727712
2014-08-28,179.2772043580575
2014-08-29,179.78289100962553
2014-09-01,180.23013768395106
2014-09-02,180.32339973327063
2014-09-03,180.64788297519883
2014-09-04,182.68181650917012
2014-09-05,183.0096195145855
2014-09-08,182.50683642853278
2014-09-09,181.82467886004542
2014-09-10,182.08581431972428
2014-09-11,181.89126951642322
2014-09-12,181.15028218031472
2014-09-15,180.86973683877736
2014-09-16,181.4106804266445
2014-09-17,181.46950853357436
2014-09-18,182.7825747211614
2014-09-19,183.69074989457178
2014-09-22,182.48587494638818
2014-09-23,180.84739166636402
2014-09-24,182.5526804956129
2014-09-25,181.1038633901288
2014-09-26,182.46067910259288
2014-09-29,181.9958885850664
2014-09-30,182.37303641117725
2014-10-01,180.85008163700024
2014-10-02,178.82682543874887
2014-10-03,181.65257560432735
2014-10-06,181.31265844898553
2014-10-07,178.46862031520172
2014-10-08,178.97963714030584
2014-10-09,176.42946634063284
2014-10-10,174.82409623011165
2014-10-13,172.6775260996967
2014-10-14,172.54753982507177
2014-10-15,169.65930091854
2014-10-16,169.10655033535454
2014-10-17,171.50603196377503
2014-10-20,172.66045168749525
2014-10-21,176.02817585091583
2014-10-22,176.4913385911065
2014-10-23,178.13396736880696
2014-10-24,178.70074412642677
2014-10-27,177.98518725400754
2014-10-28,179.37744825962807
2014-10-29,179.3820765810953
2014-10-30,181.6824600445706
2014-10-31,185.0691079198614
2014-11-03,184.75225519636334
2014-11-04,183.3815827696936
2014-11-05,185.5278323869142
2014-11-06,186.46342801308964
2014-11-07,186.78439719956953
2014-11-10,187.18670318330538
2014-11-11,187.6906439392082
2014-11-12,186.76310752809283
2014-11-13,186.95750799281168
2014-11-14,186.99766642240266
2014-11-17,187.1044128612683
2014-11-18,187.44289311276705
2014-11-19,186.9343527798425
2014-11-20,187.03319295235306
2014-11-21,190.25672919780143
2014-11-24,190.2127034966873
2014-11-25,189.77471430672563
2014-11-26,189.70252229930784
2014-11-27,190.06040075944537
2014-11-28,189.7244911483996
2014-12-01,188.53247504847877
2014-12-02,190.33302253604558
2014-12-03,192.01669537089262
2014-12-04,189.89993597456143
2014-12-05,192.27403499797424
2014-12-08,191.04036189694654
2014-12-09,188.5193981421036
2014-12-10,186.05428735931937
2014-12-11,186.66181933133518
2014-12-12,182.85260483131884
2014-12-15,181.20200984927334
2014-12-16,180.04776761921218
2014-12-17,183.5753752920331
2014-12-18,189.0577907127387
2014-12-19,190.49181619099977
2014-12-22,191.29116578738638
2014-12-23,192.66229620702293
2014-12-24,192.69819870718652
2014-12-25,192.64912697917939
2014-12-26,193.3717689805248
2014-12-29,193.49982655065295
2014-12-30,192.56806131970984
2014-12-31,192.31116451745663
2015-01-01,192.31208612574198
2015-01-02,192.886561295246
2015-01-05,190.58709924679272
2015-01-06,188.94017159642348
2015-01-07,191.72551580287336
2015-01-08,195.59709500391148
2015-01-09,193.7102595414457
2015-01-12,193.16457038179914
2015-01-13,193.94345763699638
2015-01-14,192.36712666863403
2015-01-15,195.35233628971642
2015-01-16,198.38907979841872
2015-01-19,196.89294311876682
2015-01-20,198.29730761858855
2015-01-21,199.13340477032298
2015-01-22,204.0327174021483
2015-01-23,206.73104921258818
2015-01-26,207.19506309020235
2015-01-27,203.7382827289465
2015-01-28,202.8612375846413
2015-01-29,203.4784511694841
2015-01-30,202.48089805700351
2015-02-02,203.44883232411212
2015-02-03,204.06854793037346
2015-02-04,204.5105746883643
2015-02-05,205.9075209597499
2015-02-06,206.65690212721083
2015-02-09,206.06592085349664
2015-02-10,207.67769490731806
2015-02-11,207.55660625866776
2015-02-12,208.7195219085081
2015-02-13,209.48961931411884
2015-02-16,209.54121056698756
2015-02-17,209.89681371021635
2015-02-18,211.10671658928473
2015-02-19,210.82222092430288
2015-02-20,212.1152674415193
2015-02-23,212.65241340412248
2015-02-24,213.54356346497107
2015-02-25,213.4213842501821
2015-02-26,215.83569558590415
2015-02-27,215.64343668366035
2015-03-02,216.51907648192991
2015-03-03,215.77654508136115
2015-03-04,217.12623097449764
2015-03-05,218.30006798732222
2015-03-06,218.95748266662235
2015-03-09,219.26286038837105
2015-03-10,218.375546619206
2015-03-11,220.9070133590321
2015-03-12,222.39445380432832
2015-03-13,223.26312572450712
2015-03-16,224.68591803476602
2015-03-17,223.6909236948021
2015-03-18,225.1248780621123
2015-03-19,225.2191774345028
2015-03-20,224.61471428732423
2015-03-23,222.3413181030674
2015-03-24,222.05945515373816
2015-03-25,218.44730939258807
2015-03-26,218.401587322929
2015-03-27,219.10853566158832
2015-03-30,221.91880067697454
2015-03-31,221.68550849335483
2015-04-01,220.989589754182
2015-04-02,219.90108076582337
2015-04-03,220.01598465137812
2015-04-06,218.77015086488754
2015-04-07,222.2466652890558
2015-04-08,223.98490266249325
2015-04-09,227.071219437296
2015-04-10,229.15835987044423
2015-04-13,229.38129637602952
2015-04-14,227.76157809823465
2015-04-15,230.11519137386333
2015-04-16,228.5451026182243
2015-04-17,224.7352572881675
2015-04-20,226.4792707352412
2015-04-21,227.13015106942572
2015-04-22,228.12272350324233
2015-04-23,227.243063524259
2015-04-24,226.87714115999347
2015-04-27,226.72597526250303
2015-04-28,224.94387925504608
2015-04-29,220.64173520196024
2015-04-30,217.45934358835478
2015-05-01,218.23001068922676
2015-05-04,219.8822349966489
2015-05-05,217.26524451759292
2015-05-06,214.0394762385798
2015-05-07,215.4375823389647
2015-05-08,219.40429359563979
2015-05-11,220.0978574839238
2015-05-12,217.75622051477424
2015-05-13,216.38212434324322
2015-05-14,217.53532258460393
2015-05-15,216.83792681574246
2015-05-18,218.54736082197547
2015-05-19,222.60101365178642
2015-05-20,223.15088952654523
2015-05-21,223.65487367894255
2015-05-22,224.75322474985978
2015-05-25,224.7942674499854
2015-05-26,224.5443643978207
2015-05-27,226.59297233835025
2015-05-28,225.45649386612973
2015-05-29,223.02499606568747
2015-06-01,224.26260137945764
2015-06-02,220.12591985691978
2015-06-03,218.38626888319237
2015-06-04,216.32193225174242
2015-06-05,217.82910797483248
2015-06-08,214.9976295638754
2015-06-09,214.16911478811522
2015-06-10,216.13035398540882
2015-06-11,217.8223926197736
2015-06-12,216.04011997754347
2015-06-15,214.73169587661212
2015-06-16,215.90335068570616
2015-06-17,215.73374912825176
2015-06-18,214.77868309480863
2015-06-19,215.48528808647433
2015-06-22,216.78265699413512
2015-06-23,220.90358126273878
2015-06-24,219.62232476839873
2015-06-25,218.962946382275
2015-06-26,219.37928549409656
2015-06-29,214.42614476429225
2015-06-30,214.3492676746766
2015-07-01,216.57811723914773
2015-07-02,216.54850541037604
2015-07-03,216.28882671004538
2015-07-06,214.91935623162496
2015-07-07,217.0823356908176
2015-07-08,212.32030451640037
2015-07-09,214.01841449532
2015-07-10,214.76127397808196
2015-07-13,219.85939997709883
2015-07-14,221.41213954142503
2015-07-15,222.13123058087854
2015-07-16,224.9580466479477
2015-07-17,225.85701778898104
2015-07-20,225.82391997526793
2015-07-21,223.8366873177814
2015-07-22,223.28994927734567
2015-07-23,221.0549298575303
2015-07-24,219.14649883590454
2015-07-27,214.98641310818135
2015-07-28,217.9154082876869
2015-07-29,219.74191130466858
2015-07-30,221.80091397829986
2015-07-31,220.0433694104725
2015-08-03,221.01764264682288
2015-08-04,220.9719726235411
2015-08-05,223.40968051468923
2015-08-06,221.23941510886652
2015-08-07,220.04101869377692
2015-08-10,221.64104084251917
2015-08-11,218.19927505700605
2015-08-12,214.56871168958736
2015-08-13,215.74800388723114
2015-08-14,216.37696502883506
2015-08-17,217.75579350444957
2015-08-18,217.9722749022136
2015-08-19,215.29487475024388
2015-08-20,209.02040527493526
2015-08-21,201.25978214514495
2015-08-24,189.39433969846894
2015-08-25,191.45772436480885
2015-08-26,195.52515260598554
2015-08-27,203.02657258676726
2015-08-28,203.85629531794024
2015-08-31,202.61212409281467
2015-09-01,196.175545296195
2015-09-02,198.52149450711556
2015-09-03,201.83038534000738
2015-09-04,198.11301318337573
2015-09-07,197.70914758838086
2015-09-08,200.76089188998057
2015-09-09,201.24591498857583
2015-09-10,199.94215226485028
2015-09-11,199.02113046485155
2015-09-14,198.10063420747824
2015-09-15,200.10135719749582
2015-09-16,202.16242731409974
2015-09-17,201.68930372212623
2015-09-18,197.9293131580585
2015-09-21,200.93668041807464
2015-09-22,198.55761887128685
2015-09-23,197.85122134857983
2015-09-24,194.204448378382
2015-09-25,197.10884816539323
2015-09-28,192.3696359779539
2015-09-29,191.00219583317664
2015-09-30,195.88188384784746
2015-10-01,195.912980950604
2015-10-02,197.03204716356046
2015-10-05,201.90490390207805
2015-10-06,201.41296284130013
2015-10-07,203.4444494783995
2015-10-08,203.96234015462733
2015-10-09,203.8241002267274
2015-10-12,203.57673252116317
2015-10-13,201.95152485722056
2015-10-14,199.87879784696196
2015-10-15,203.51526125651736
2015-10-16,204.63132159146951
2015-10-19,205.40111386105767
2015-10-20,204.52282541502865
2015-10-21,203.75059166481907
2015-10-22,209.3611413619974
2015-10-23,213.9575592587362
2015-10-26,213.44469416521525
2015-10-27,212.322709370816
2015-10-28,214.2720768729808
2015-10-29,215.40125587404438
2015-10-30,213.6243414056256
2015-11-02,215.03392951343514
2015-11-03,216.93768932601893
2015-11-04,218.32763664679544
2015-11-05,217.93772203704233
2015-11-06,219.6133153986551
2015-11-09,217.92131112844143
2015-11-10,218.85375210146486
